zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
21037,2560,132253.67000000077, 21037,zip,21524,887,118.93700055751718
21040,1925,35919.79999999996, 21040,zip,24424,1119,78.81591876842451
21042,5156,197983.37000000064, 21042,zip,40980,1104,125.81747193753051
21043,6185,122321.36000000112, 21043,zip,46932,1429,131.78641438677235
21044,2871,89628.98000000049, 21044,zip,44034,1178,65.1996184766317
21045,2114,65944.75000000004, 21045,zip,39946,1022,52.9214439493316
21046,1732,41757.79999999992, 21046,zip,15988,627,108.33124843632724
21047,1600,55999.08000000003, 21047,zip,12096,501,132.27513227513228
21048,1342,54494.54000000002, 21048,zip,10465,881,128.23698041089347
21050,2703,80880.23000000008, 21050,zip,18586,563,145.4320456257398
21051,23,1247.9199999999998, 21051,zip,330,104,69.6969696969697
21052,33,576.63, 21052,zip,251,100,131.47410358565736
21053,1337,18719.859999999982, 21053,zip,3302,488,404.9061175045427
21054,1243,55027.50999999999, 21054,zip,11009,849,112.9076210373331
21056,146,61699, 21056,zip,146,84,1000
21057,803,30587.21999999996, 21057,zip,4284,344,187.44164332399626
21060,2913,77188.22000000016, 21060,zip,34360,1316,84.77881257275902
21061,4334,94884.25000000096, 21061,zip,54059,1569,80.17166429271721
21071,73,2712.2000000000007, 21071,zip,595,272,122.68907563025209
21074,1937,41324.14, 21074,zip,14872,772,130.24475524475523
21075,1098,38737.78999999992, 21075,zip,32496,907,33.788774002954206
21076,1184,37133.1999999999, 21076,zip,17204,963,68.8212043710765
21077,3,86.21000000000001, 21077,zip,271,155,11.07011070110701
21078,3100,79610.61000000061, 21078,zip,18097,488,171.29911034978173
21082,236,4434.750000000003, 21082,zip,611,183,386.2520458265139
21084,1880,31766.83999999992, 21084,zip,7583,537,247.9229856257418
21085,2769,60720.31000000001, 21085,zip,16177,659,171.16894356184707
21087,2194,51768.68000000009, 21087,zip,5407,323,405.77029776216017
21090,912,24629.47999999995, 21090,zip,10494,605,86.90680388793596
21093,9103,260605.55000000255, 21093,zip,37917,1063,240.07701031199727
