zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
21204,12273,511605.4999999996,ZCTA5 21204,zip,21628,860,567.4588496393565
21205,1021,23248.110000000015,ZCTA5 21205,zip,14580,1094,70.02743484224966
21206,6518,111044.22,ZCTA5 21206,zip,51561,1962,126.41337444968096
21207,13152,198563.10000000015,ZCTA5 21207,zip,47687,1807,275.7984356323526
21208,21511,700900.8699999987,ZCTA5 21208,zip,36441,1493,590.2966438901237
21209,26774,644100.539999995,ZCTA5 21209,zip,28015,1050,955.7023023380332
21210,25454,1443604.7700000436,ZCTA5 21210,zip,15213,870,1673.174258857556
21211,13357,433904.2699999998,ZCTA5 21211,zip,16299,611,819.4981287195533
21212,25556,1146181.100000002,ZCTA5 21212,zip,33342,1289,766.4807150140963
21213,3715,75637.8300000001,ZCTA5 21213,zip,31701,1407,117.18873221664931
21214,7525,156481.40000000066,ZCTA5 21214,zip,21177,982,355.33833876375314
21215,10084,148706.3900000006,ZCTA5 21215,zip,58448,2310,172.52942786750617
21216,3837,59446.779999999984,ZCTA5 21216,zip,31409,1415,122.16243751790888
21217,6787,338081.31999999844,ZCTA5 21217,zip,34487,1382,196.79879374836895
21218,31378,1018091.8099999998,ZCTA5 21218,zip,49271,1616,636.8452030606238
21219,1232,28739.510000000017,ZCTA5 21219,zip,9427,568,130.68844807467912
21220,3341,75693.55000000031,ZCTA5 21220,zip,40211,1227,83.08671756484544
21221,3250,65432.59999999995,ZCTA5 21221,zip,43110,1136,75.38854094177685
21222,3776,62814.88999999995,ZCTA5 21222,zip,54873,1287,68.81344194777031
21223,1598,27742.830000000005,ZCTA5 21223,zip,23560,1393,67.82682512733447
21224,12042,379731.1799999997,ZCTA5 21224,zip,50433,1701,238.77223246683718
21225,2446,27074.09999999997,ZCTA5 21225,zip,33927,1580,72.09597076075103
21226,636,12090.19,ZCTA5 21226,zip,6257,982,101.64615630493846
21227,4190,96694.33000000005,ZCTA5 21227,zip,33822,1088,123.88386257465554
21228,26381,597323.7399999986,ZCTA5 21228,zip,48133,1331,548.0855130575696
21229,8355,157636.48000000007,ZCTA5 21229,zip,47644,1734,175.3631097305012
21230,13266,623503.7299999964,ZCTA5 21230,zip,34947,1008,379.60339943342774
21231,7981,281612.8999999996,ZCTA5 21231,zip,16160,963,493.87376237623766
21234,12937,250143.7600000003,ZCTA5 21234,zip,68938,1666,187.66137688937886
21236,5621,122992.59000000026,ZCTA5 21236,zip,38573,1604,145.723692738444
21237,3793,79481.20000000007,ZCTA5 21237,zip,30286,1265,125.23938453410815
21239,11716,161538.66000000044,ZCTA5 21239,zip,31133,1192,376.3209456204028
21240,14,522,ZCTA5 21240,zip,0,12,Inf
21244,9590,141657.7900000002,ZCTA5 21244,zip,35724,1529,268.4469824207815
21250,5,206,ZCTA5 21250,zip,2415,470,2.070393374741201
21251,9,134,ZCTA5 21251,zip,933,161,9.64630225080386
21252,9,120,ZCTA5 21252,zip,2271,283,3.963011889035667
21286,12808,415242.91999999946,ZCTA5 21286,zip,20483,785,625.2990284626276
21401,36733,1649639.400000007,ZCTA5 21401,zip,37081,1185,990.615139829023
21402,172,9181.1,ZCTA5 21402,zip,6409,404,26.837260102980185
21403,25115,1333098.2500000054,ZCTA5 21403,zip,30855,1101,813.9685626316643
21405,1726,51961.95999999998,ZCTA5 21405,zip,352,118,4903.409090909091
21409,11407,445531.4299999982,ZCTA5 21409,zip,20352,646,560.4854559748428
21502,7293,116830.50000000042,ZCTA5 21502,zip,42583,694,171.26552849728765
21520,197,8828.130000000001,ZCTA5 21520,zip,2212,451,89.05967450271247
21521,53,890.1600000000001,ZCTA5 21521,zip,1104,169,48.007246376811594
21523,6,46,ZCTA5 21523,zip,199,90,30.15075376884422
21524,5,7,ZCTA5 21524,zip,740,220,6.756756756756757
21529,33,886,ZCTA5 21529,zip,457,166,72.21006564551423
21530,475,11216.91,ZCTA5 21530,zip,1961,274,242.2233554309026
21531,191,4804.52,ZCTA5 21531,zip,1895,206,100.79155672823218
21532,1754,43536.08000000003,ZCTA5 21532,zip,15062,613,116.45199840658611
21536,466,10208.63,ZCTA5 21536,zip,4145,443,112.42460796139927
21538,17,85,ZCTA5 21538,zip,408,107,41.666666666666664
21539,28,785.4200000000001,ZCTA5 21539,zip,2807,321,9.975062344139651
21540,1,56.18,ZCTA5 21540,zip,109,58,9.174311926605505
21541,381,19362.08,ZCTA5 21541,zip,1354,265,281.3884785819793
21545,55,972.24,ZCTA5 21545,zip,1725,177,31.884057971014492
21550,1946,54859.00000000003,ZCTA5 21550,zip,14112,500,137.89682539682542
21555,229,5493.5,ZCTA5 21555,zip,1541,272,148.60480207657363
21557,71,1640.1999999999998,ZCTA5 21557,zip,1530,338,46.40522875816993
21561,752,17515.689999999995,ZCTA5 21561,zip,2606,297,288.5648503453569
21562,202,2810.76,ZCTA5 21562,zip,3271,284,61.75481504127178
21601,15791,628699.1599999968,ZCTA5 21601,zip,23458,495,673.1605422457158
21607,2,350,ZCTA5 21607,zip,839,293,2.3837902264600714
21610,279,3615.8,ZCTA5 21610,zip,386,127,722.7979274611399
21612,232,8710.380000000001,ZCTA5 21612,zip,360,113,644.4444444444445
21613,3942,120616.02999999994,ZCTA5 21613,zip,17109,381,230.40504997369806
21617,3054,57825.34999999997,ZCTA5 21617,zip,10741,681,284.33106787077554
21619,3573,96216.21999999994,ZCTA5 21619,zip,5891,566,606.5184179256493
21620,7513,422426.1699999993,ZCTA5 21620,zip,13155,650,571.1136450019004
21622,17,546.72,ZCTA5 21622,zip,1030,221,16.50485436893204
21623,282,7916.639999999999,ZCTA5 21623,zip,2000,395,141
21624,164,8929.2,ZCTA5 21624,zip,207,118,792.2705314009661
21625,258,8292.2,ZCTA5 21625,zip,2720,279,94.85294117647058
21627,4,28,ZCTA5 21627,zip,17,22,235.2941176470588
21628,119,2211.88,ZCTA5 21628,zip,531,290,224.10546139359698
21629,1206,24259.210000000006,ZCTA5 21629,zip,9726,419,123.99753238741518
21631,94,3551.46,ZCTA5 21631,zip,2694,395,34.892353377876766
21632,758,8827.550000000001,ZCTA5 21632,zip,6065,450,124.97938994229183
21635,611,12718.539999999995,ZCTA5 21635,zip,1912,240,319.56066945606693
21636,58,1112,ZCTA5 21636,zip,1147,300,50.56669572798605
21638,1114,33617.01,ZCTA5 21638,zip,5210,373,213.81957773512474
